Accel X=-0.97, Accel Y=-0.06, Accel Z=9.6
Total Acceleration =Accel X=-0.99, Accel Y=-0.07, Accel Z=9.61
Total Acceleration =Accel X=-0.98, Accel Y=-0.08, Accel Z=9.55
Total Acceleration =Accel X=-1.02, Accel Y=-0.07, Accel Z=9.57
Total Acceleration =Accel X=-1.02, Accel Y=-0.05, Accel Z=9.56
Total Acceleration =Accel X=-0.96, Accel Y=-0.04, Accel Z=9.58
Total Acceleration =Accel X=-0.99, Accel Y=-0.07, Accel Z=9.65
Total Acceleration =Accel X=-1.01, Accel Y=-0.04, Accel Z=9.63
Total Acceleration =Accel X=-0.96, Accel Y=-0.07, Accel Z=9.58
Total Acceleration =Accel X=-1.01, Accel Y=-0.03, Accel Z=9.55
Total Acceleration =Accel X=-0.98, Accel Y=-0.01, Accel Z=9.56
Total Acceleration =Accel X=-1.03, Accel Y=-0.06, Accel Z=9.59
Total Acceleration =Accel X=-0.97, Accel Y=-0.03, Accel Z=9.54
Total Acceleration =Accel X=-1.04, Accel Y=-0.05, Accel Z=9.6
Total Acceleration =Accel X=-0.94, Accel Y=-0.3, Accel Z=9.4
Total Acceleration =Accel X=-0.99, Accel Y=-0.34, Accel Z=9.66
Total Acceleration =Accel X=-0.68, Accel Y=0.04, Accel Z=8.66
Total Acceleration =Accel X=-5.99, Accel Y=5.25, Accel Z=9.14
Total Acceleration =Accel X=-2.05, Accel Y=1.7, Accel Z=9.37
Total Acceleration =Accel X=-1.24, Accel Y=0.27, Accel Z=9.51
Total Acceleration =Accel X=-0.7, Accel Y=-0.2, Accel Z=9.2
Total Acceleration =Accel X=-0.79, Accel Y=-0.2, Accel Z=9.36
Total Acceleration =Accel X=-0.85, Accel Y=-0.06, Accel Z=9.64
Total Acceleration =Accel X=-0.98, Accel Y=-0.1, Accel Z=9.71
Total Acceleration =Accel X=-1.39, Accel Y=-0.02, Accel Z=10.15
Total Acceleration =Accel X=-1.8, Accel Y=0.02, Accel Z=9.47
Total Acceleration =Accel X=-1.2, Accel Y=-0.1, Accel Z=9.58
Total Acceleration =Accel X=-1.06, Accel Y=-0.04, Accel Z=9.66
Total Acceleration =Accel X=-0.95, Accel Y=-0.06, Accel Z=9.51
Total Acceleration =Accel X=-0.94, Accel Y=-0.06, Accel Z=9.54
Total Acceleration =Accel X=-0.97, Accel Y=-0.05, Accel Z=9.58
Total Acceleration =Accel X=-1.03, Accel Y=-0.04, Accel Z=9.6
Total Acceleration =Accel X=-1.04, Accel Y=-0.04, Accel Z=9.56
Total Acceleration =Accel X=-0.96, Accel Y=-0.01, Accel Z=9.57
Total Acceleration =Accel X=-0.95, Accel Y=-0.03, Accel Z=9.57
Total Acceleration =Accel X=-0.98, Accel Y=-0.05, Accel Z=9.54
Total Acceleration =Accel X=-0.99, Accel Y=-0.04, Accel Z=9.52
Total Acceleration =Accel X=-0.99, Accel Y=-0.05, Accel Z=9.51
Total Acceleration =Accel X=-0.98, Accel Y=-0.05, Accel Z=9.53
Total Acceleration =Accel X=-1.01, Accel Y=-0.06, Accel Z=9.57
Total Acceleration =Accel X=-1.01, Accel Y=-0.05, Accel Z=9.57
Total Acceleration =Accel X=-1.01, Accel Y=-0.04, Accel Z=9.59
Total Acceleration =Accel X=-0.99, Accel Y=-0.09, Accel Z=9.61
Total Acceleration =Accel X=-0.97, Accel Y=-0.08, Accel Z=9.57
Total Acceleration =Accel X=-0.97, Accel Y=-0.06, Accel Z=9.6
Total Acceleration =Accel X=-0.96, Accel Y=-0.1, Accel Z=9.55
Total Acceleration =Accel X=-0.96, Accel Y=-0.05, Accel Z=9.58
Total Acceleration =Accel X=-1.0, Accel Y=-0.04, Accel Z=9.56
Total Acceleration =Accel X=-1.0, Accel Y=-0.06, Accel Z=9.57
Total Acceleration =Accel X=-0.95, Accel Y=-0.07, Accel Z=9.56
Total Acceleration =Accel X=-0.97, Accel Y=-0.04, Accel Z=9.57
Total Acceleration =Accel X=-0.99, Accel Y=-0.06, Accel Z=9.57
Total Acceleration =Accel X=-1.0, Accel Y=-0.06, Accel Z=9.55
Total Acceleration =Accel X=-1.04, Accel Y=-0.04, Accel Z=9.6
Total Acceleration =Accel X=-0.95, Accel Y=-0.05, Accel Z=9.6
Total Acceleration =Accel X=-0.95, Accel Y=-0.07, Accel Z=9.56
Total Acceleration =Accel X=-0.97, Accel Y=-0.05, Accel Z=9.59
Total Acceleration =Accel X=-0.95, Accel Y=-0.05, Accel Z=9.62
Total Acceleration =Accel X=-0.97, Accel Y=-0.06, Accel Z=9.53
Total Acceleration =Accel X=-0.98, Accel Y=-0.05, Accel Z=9.54
Total Acceleration =Accel X=-0.89, Accel Y=-0.12, Accel Z=9.1
Total Acceleration =Accel X=-0.97, Accel Y=-0.04, Accel Z=9.48
Total Acceleration =Accel X=-1.01, Accel Y=-0.06, Accel Z=9.57
Total Acceleration =Accel X=-0.96, Accel Y=-0.03, Accel Z=9.62
Total Acceleration =Accel X=-0.96, Accel Y=-0.07, Accel Z=9.6
Total Acceleration =Accel X=-0.98, Accel Y=-0.05, Accel Z=9.61
Total Acceleration =Accel X=-0.99, Accel Y=-0.08, Accel Z=9.6
Total Acceleration =Accel X=-1.0, Accel Y=-0.02, Accel Z=9.58
Total Acceleration =Accel X=-0.98, Accel Y=-0.03, Accel Z=9.59
Total Acceleration =Accel X=-1.01, Accel Y=0.0, Accel Z=9.63
Total Acceleration =Accel X=-1.01, Accel Y=-0.01, Accel Z=9.6
Total Acceleration =Accel X=-0.96, Accel Y=-0.05, Accel Z=9.65
Total Acceleration =Accel X=-0.96, Accel Y=-0.09, Accel Z=9.56
Total Acceleration =Accel X=-0.98, Accel Y=-0.04, Accel Z=9.58
Total Acceleration =Accel X=-1.02, Accel Y=-0.04, Accel Z=9.55
Total Acceleration =Accel X=-1.01, Accel Y=-0.04, Accel Z=9.55
Total Acceleration =Accel X=-0.98, Accel Y=-0.06, Accel Z=9.6
Total Acceleration =Accel X=-0.95, Accel Y=-0.06, Accel Z=9.5
Total Acceleration =Accel X=-1.0, Accel Y=-0.05, Accel Z=9.58
Total Acceleration =Accel X=-1.01, Accel Y=-0.05, Accel Z=9.62
Total Acceleration =Accel X=-0.95, Accel Y=-0.06, Accel Z=9.58
Total Acceleration =Accel X=-0.96, Accel Y=-0.07, Accel Z=9.55
Total Acceleration =Accel X=-1.01, Accel Y=-0.04, Accel Z=9.58
Total Acceleration =Accel X=-0.98, Accel Y=-0.08, Accel Z=9.57
Total Acceleration =Accel X=-1.01, Accel Y=-0.07, Accel Z=9.53
Total Acceleration =Accel X=-1.0, Accel Y=-0.06, Accel Z=9.6
Total Acceleration =Accel X=-0.97, Accel Y=-0.06, Accel Z=9.6
Total Acceleration =Accel X=-0.98, Accel Y=-0.05, Accel Z=9.6
Total Acceleration =Accel X=-0.97, Accel Y=-0.03, Accel Z=9.62
Total Acceleration =Accel X=-0.99, Accel Y=-0.04, Accel Z=9.55
Total Acceleration =Accel X=-1.01, Accel Y=-0.03, Accel Z=9.55
Total Acceleration =Accel X=-0.96, Accel Y=-0.06, Accel Z=9.55
Total Acceleration =Accel X=-0.94, Accel Y=-0.07, Accel Z=9.57
Total Acceleration =Accel X=-0.99, Accel Y=-0.08, Accel Z=9.54
Total Acceleration =Accel X=-1.0, Accel Y=-0.02, Accel Z=9.61
Total Acceleration =Accel X=-0.98, Accel Y=-0.02, Accel Z=9.59
Total Acceleration =Accel X=-1.0, Accel Y=-0.05, Accel Z=9.6
Total Acceleration =Accel X=-0.99, Accel Y=-0.05, Accel Z=9.64
Total Acceleration =Accel X=-1.0, Accel Y=-0.02, Accel Z=9.65
Total Acceleration =Accel X=-1.01, Accel Y=-0.02, Accel Z=9.62
Total Acceleration =Accel X=-0.99, Accel Y=-0.02, Accel Z=9.74
Total Acceleration =Accel X=-1.01, Accel Y=-0.09, Accel Z=9.6
Total Acceleration =Accel X=-0.96, Accel Y=-0.08, Accel Z=9.56
